序号,开奖日期,期号,红球1,红球2,红球3,红球4,红球5,红球6,蓝球,销售额,一等奖注数,一等奖奖金（元）,二等奖注数,二等奖奖金（元）,奖池（元）
1,2008/1/1,2008001,2,4,7,9,14,29,3,143343976,1,5000000,53,255048,111094951
2,2008/1/3,2008002,3,4,18,22,25,29,9,153610222,6,5000000,66,333886,90539172
3,2008/1/6,2008003,6,8,11,13,17,19,12,175940428,18,5000000,76,6000,30539172
4,2008/1/8,2008004,4,8,22,23,27,29,8,154299042,5,5000000,40,309247,34402240
5,2008/1/10,2008005,3,5,15,22,24,25,15,154340740,2,5000000,93,154623,57955436
6,2008/1/13,2008006,1,14,16,18,22,27,14,165907668,1,5000000,35,449100,89631944
7,2008/1/15,2008007,1,13,17,22,23,30,11,145532348,3,5000000,26,323095,94233045
8,2008/1/17,2008008,2,15,16,23,26,27,7,150661200,6,5000000,43,139470,78226614
9,2008/1/20,2008009,9,21,29,30,31,32,16,165349862,2,5000000,39,378221,102644740
10,2008/1/22,2008010,3,8,11,17,21,27,9,146738458,26,4174608,196,70179,30000000
11,2008/1/24,2008011,2,14,17,21,30,32,3,142739106,1,5000000,21,572544,53054681
12,2008/1/27,2008012,3,4,5,16,20,30,13,154610224,8,5000000,54,64572,51190784
13,2008/1/29,2008013,2,8,15,16,22,28,10,134411428,15,3412718,144,6000,30000000
14,2008/1/31,2008014,3,9,11,17,21,31,14,135835312,9,5000000,195,54756,19914148
15,2008/2/3,2008015,6,8,11,16,29,33,3,150230862,0,0,46,309151,53096396
16,2008/2/5,2008016,3,12,14,21,29,33,13,140568370,0,0,22,682967,88155385
17,2008/2/14,2008017,2,5,7,17,20,22,2,132359640,2,5000000,50,204744,102042212
18,2008/2/17,2008018,2,5,6,23,26,33,13,157186176,1,5000000,23,1837353,115153263
19,2008/2/19,2008019,2,9,11,17,27,31,5,141971234,5,5000000,103,186536,98387535
20,2008/2/21,2008020,3,10,13,15,28,30,3,146348748,8,5000000,207,55424,85157728
21,2008/2/24,2008021,9,12,19,20,26,28,15,160910474,3,5000000,95,162540,106187436
22,2008/2/26,2008022,12,18,20,24,28,32,5,144863010,0,0,59,582138,120907235
23,2008/2/28,2008023,8,16,18,25,26,32,2,153560364,4,5000000,82,340936,112888712
24,2008/3/2,2008024,11,20,21,26,28,30,13,170256022,2,5000000,30,1274035,119269174
25,2008/3/4,2008025,8,16,17,18,19,21,14,153154654,2,5000000,48,776713,125247286
26,2008/3/6,2008026,5,17,19,27,29,32,3,152462456,4,5000000,42,655496,117046228
27,2008/3/9,2008027,15,18,19,23,24,26,13,174009958,0,0,37,1090747,134342360
28,2008/3/11,2008028,1,13,21,26,29,32,10,160518620,1,5000000,40,596676,139571098
29,2008/3/13,2008029,1,9,14,22,29,32,12,161219452,2,5000000,44,648987,141809150
30,2008/3/16,2008030,6,15,18,19,20,28,11,179312028,3,5000000,44,706783,140137059
31,2008/3/18,2008031,3,6,11,15,21,31,13,158624334,3,5000000,79,428603,139648344
32,2008/3/20,2008032,5,14,16,21,23,28,13,160439648,0,0,61,674067,157270392
33,2008/3/23,2008033,12,17,18,30,31,33,4,180595348,1,5000000,37,889464,166374754
34,2008/3/25,2008034,3,5,9,11,21,29,9,159514754,15,5000000,123,95490,96408435
35,2008/3/27,2008035,7,11,14,17,18,29,16,157220200,1,5000000,48,275718,122288881
36,2008/3/30,2008036,2,6,13,18,23,28,16,175839426,5,5000000,218,203750,116325030
37,2008/4/1,2008037,1,12,22,24,28,31,6,155799266,4,5000000,34,434430,102655300
38,2008/4/3,2008038,3,9,10,11,15,19,13,156472902,4,5000000,38,791535,95546028
39,2008/4/6,2008039,1,7,10,13,22,29,1,167098814,3,5000000,80,50875,90042831
40,2008/4/8,2008040,6,13,22,25,27,28,9,147866454,3,5000000,29,408310,102671865
41,2008/4/10,2008041,8,11,20,22,23,27,4,153107854,1,5000000,29,846000,108186443
42,2008/4/13,2008042,3,4,9,11,12,24,1,172844294,4,5000000,168,195001,102226580
43,2008/4/15,2008043,3,10,16,22,27,33,14,152620756,2,5000000,38,882912,106605432
44,2008/4/17,2008044,5,7,9,20,26,29,9,154045626,4,5000000,63,424742,98073492
45,2008/4/20,2008045,1,10,13,21,29,32,4,166853172,2,5000000,81,184637,122970012
46,2008/4/22,2008046,15,16,18,24,28,33,15,154575398,1,5000000,21,1545289,131877614
47,2008/4/24,2008047,9,12,13,14,20,22,10,159244658,3,5000000,30,801660,127184673
48,2008/4/27,2008048,11,18,21,27,30,32,1,177125564,6,5000000,66,615835,114604014
49,2008/4/29,2008049,3,10,12,13,19,25,4,156554264,3,5000000,63,462285,112085727
50,2008/5/1,2008050,1,11,19,24,26,27,3,143428932,5,5000000,39,804589,100533855
51,2008/5/4,2008051,1,4,8,10,13,33,11,168795820,5,5000000,32,859298,87318515
52,2008/5/6,2008052,2,10,17,23,29,31,10,150880684,13,5000000,311,25083,40520662
53,2008/5/8,2008053,6,12,19,20,21,27,4,150163792,8,5000000,175,69791,29018768
54,2008/5/11,2008054,2,6,16,17,20,25,7,166384318,9,3914695,58,45912,20000000
55,2008/5/13,2008055,11,16,19,23,26,31,4,140054516,3,5000000,44,352317,41171283
56,2008/5/15,2008056,8,13,22,23,25,30,7,143711520,6,5000000,65,204040,42117390
57,2008/5/18,2008057,19,20,21,26,28,30,8,157009320,5,5000000,32,86441,23571670
58,2008/5/20,2008058,1,12,21,27,29,31,11,133093020,7,5000000,79,64077,20383306
59,2008/5/22,2008059,2,6,15,29,31,32,16,138178008,0,0,29,441643,50267824
60,2008/5/25,2008060,6,7,8,17,30,32,3,152605692,3,5000000,34,372017,64781184
61,2008/5/27,2008061,1,2,5,12,26,31,6,133881926,1,5000000,14,597977,79315110
62,2008/5/29,2008062,6,8,13,17,24,27,15,137719710,2,5000000,59,209838,98202858
63,2008/6/1,2008063,5,9,11,14,16,17,15,155226836,2,5000000,48,338979,126168572
64,2008/6/3,2008064,1,2,7,9,12,18,12,142377766,6,5000000,43,315561,101983920
65,2008/6/5,2008065,5,13,15,19,30,31,5,148399068,4,5000000,69,99560,84928072
66,2008/6/8,2008066,7,12,21,22,29,30,8,157257472,11,5000000,92,40917,38711673
67,2008/6/10,2008067,10,11,15,19,26,33,13,139167536,3,5000000,35,89194,30995856
68,2008/6/12,2008068,5,7,17,23,27,29,7,146064510,3,5000000,66,137177,37121202
69,2008/6/15,2008069,5,8,17,20,26,30,10,160540160,10,5000000,76,100421,24929340
70,2008/6/17,2008070,5,6,12,15,18,33,13,143853670,0,0,25,534798,56125892
71,2008/6/19,2008071,1,6,21,26,27,28,9,149342332,6,5000000,52,78843,35692188
72,2008/6/22,2008072,1,5,10,18,22,30,9,161487324,2,5000000,70,239511,64812320
73,2008/6/24,2008073,1,9,13,22,28,33,8,145507408,2,5000000,39,304078,82483486
74,2008/6/26,2008074,1,11,15,19,20,24,9,144760564,0,0,38,423597,120042441
75,2008/6/29,2008075,1,8,14,18,22,30,3,165190272,1,5000000,32,1075819,129796542
76,2008/7/1,2008076,2,5,7,11,13,18,11,149452982,1,5000000,44,479564,133839763
77,2008/7/3,2008077,4,12,22,26,30,33,9,150267928,3,5000000,27,1304849,133938729
78,2008/7/6,2008078,6,13,16,26,30,33,1,163038372,3,5000000,29,1335903,135542103
79,2008/7/8,2008079,3,4,5,10,20,32,9,146233386,3,5000000,56,566270,134132604
80,2008/7/10,2008080,4,14,22,25,29,32,14,147833964,2,5000000,37,492087,131935706
81,2008/7/13,2008081,2,12,13,18,25,31,4,164515530,13,5000000,182,69494,72356284
82,2008/7/15,2008082,4,8,10,12,21,26,9,145747052,3,5000000,52,197009,81260097
83,2008/7/17,2008083,7,8,9,18,29,32,9,148998496,1,5000000,59,247765,110369093
84,2008/7/20,2008084,4,7,13,20,29,30,16,164902436,5,5000000,133,189582,96175310
85,2008/7/22,2008085,1,4,12,20,24,29,15,147121156,2,5000000,29,536348,122468200
86,2008/7/24,2008086,4,5,10,26,27,30,12,149218680,1,5000000,37,621321,127320587
87,2008/7/27,2008087,1,7,26,29,30,31,6,165513430,5,5000000,59,436243,113351325
88,2008/7/29,2008088,1,6,8,16,17,23,5,145378764,4,5000000,40,459958,101236320
89,2008/7/31,2008089,3,6,11,16,22,27,11,152919280,16,5000000,192,76120,27499936
90,2008/8/3,2008090,2,7,14,18,19,24,1,161612270,3,5000000,96,158323,47964342
91,2008/8/5,2008091,3,12,14,23,31,32,10,144363788,3,5000000,38,221471,52601487
92,2008/8/7,2008092,1,3,18,27,28,30,5,147648912,9,5000000,43,317610,39468357
93,2008/8/10,2008093,4,10,12,16,26,28,7,155710670,10,5000000,84,112206,21460880
94,2008/8/12,2008094,1,4,15,16,23,28,14,138848472,0,0,45,281661,51035380
95,2008/8/14,2008095,3,8,14,21,28,29,3,141671626,11,5000000,108,77441,20550733
96,2008/8/17,2008096,6,8,12,24,27,31,14,155836508,1,5000000,83,207401,55717575
97,2008/8/19,2008097,3,6,8,9,16,17,13,139512854,5,5000000,30,331418,53916840
98,2008/8/21,2008098,6,7,10,11,15,30,1,141788216,1,5000000,55,246653,80570714
99,2008/8/24,2008099,10,15,16,22,23,24,7,161894814,7,5000000,68,219458,80391500
100,2008/8/26,2008100,8,14,17,21,27,28,14,143116762,8,5000000,121,95945,67480016
101,2008/8/28,2008101,9,17,21,26,28,30,4,146389400,9,5000000,32,310781,45685017
102,2008/8/31,2008102,3,7,12,21,25,32,5,163061174,6,5000000,106,123498,46230420
103,2008/9/2,2008103,1,12,16,18,22,33,4,145961956,3,5000000,29,570948,69864603
104,2008/9/4,2008104,3,6,8,17,24,31,1,146186834,2,5000000,101,130068,90517482
105,2008/9/7,2008105,5,17,19,27,28,32,2,166483810,6,5000000,41,22026,62624640
106,2008/9/9,2008106,14,19,25,27,29,30,15,145583846,1,5000000,24,554695,88687594
107,2008/9/11,2008107,6,13,18,22,27,32,4,145917756,4,5000000,94,151765,101974896
108,2008/9/14,2008108,9,10,15,17,23,30,12,161811898,1,5000000,70,393483,108779387
109,2008/9/16,2008109,4,7,9,16,21,28,10,149534090,14,5000000,142,128141,46577706
110,2008/9/18,2008110,10,16,22,23,29,31,2,150162970,1,5000000,35,387331,73209813
111,2008/9/21,2008111,17,18,21,25,31,32,6,165394226,2,5000000,23,570142,93807436
112,2008/9/23,2008112,5,13,14,19,22,23,6,147917738,0,0,38,400764,129341859
113,2008/9/25,2008113,6,9,10,12,17,22,9,154570240,10,5000000,58,96933,81751350
114,2008/9/28,2008114,4,9,20,24,25,31,14,164160014,4,5000000,69,209059,95409920
115,2008/9/30,2008115,2,12,13,14,17,18,6,135827902,2,5000000,35,407174,118662496
116,2008/10/2,2008116,3,7,21,22,24,29,14,131959380,3,5000000,88,367605,117526488
117,2008/10/5,2008117,3,5,7,10,14,33,7,159338244,2,5000000,54,424953,117361114
118,2008/10/7,2008118,4,9,16,27,31,33,1,151771380,1,5000000,43,610599,123613595
119,2008/10/9,2008119,5,7,9,15,24,29,7,159160812,3,5000000,45,752625,123128505
120,2008/10/12,2008120,10,11,22,24,26,33,2,177325446,1,5000000,42,939166,135033500
121,2008/10/14,2008121,2,22,23,27,31,32,6,159325560,2,5000000,19,1604854,138101604
122,2008/10/16,2008122,2,8,11,14,19,26,15,183419190,2,7000000,134,255530,142776382
123,2008/10/19,2008123,10,11,15,16,25,29,2,200338784,2,7000000,83,563171,152809210
124,2008/10/21,2008124,1,7,10,13,21,22,3,182202870,2,7000000,69,497852,157531410
125,2008/10/23,2008125,10,11,12,15,26,29,9,180560840,4,6000000,41,663639,149192508
126,2008/10/26,2008126,4,11,12,14,20,30,13,198648614,4,6000000,47,716752,143629960
127,2008/10/28,2008127,5,8,19,22,27,30,13,181580160,3,6333333,163,260688,146840901
128,2008/10/30,2008128,1,5,19,20,27,33,5,181169198,4,6000000,52,666618,141696972
129,2008/11/2,2008129,1,3,18,24,25,32,15,197717092,1,9000000,100,474507,157033001
130,2008/11/4,2008130,1,12,18,28,30,32,6,181993644,2,7000000,37,920672,161632234
131,2008/11/6,2008131,2,12,15,18,22,32,8,174029788,7,5571428,59,84310,128764083
132,2008/11/9,2008132,9,13,16,25,27,33,8,196454404,2,7000000,95,403285,135183556
133,2008/11/11,2008133,8,11,16,19,24,26,11,180872408,11,5363636,79,6000,80183554
134,2008/11/13,2008134,10,15,19,20,28,32,2,184911938,5,5800000,84,198098,94010770
135,2008/11/16,2008135,5,14,15,16,19,21,15,199297252,2,7000000,51,394669,130976410
136,2008/11/18,2008136,5,9,10,12,18,28,2,175281498,1,9000000,104,399078,143763910
137,2008/11/20,2008137,1,4,24,28,29,33,9,178412318,4,6000000,21,1184051,134420368
138,2008/11/23,2008138,7,14,19,23,25,32,4,197283238,6,5666666,44,641195,116511474
139,2008/11/25,2008139,8,9,19,23,25,26,7,180577258,3,6333333,47,346806,108497139
140,2008/11/27,2008140,7,14,16,29,30,31,14,182798276,7,5571428,38,654845,84161756
141,2008/11/30,2008141,3,13,20,25,29,33,15,198694026,1,9000000,40,517491,127460973
142,2008/12/2,2008142,5,6,10,13,17,28,15,181220636,7,5571428,127,338950,110909554
143,2008/12/4,2008143,12,17,18,19,26,27,6,175828406,5,5800000,85,201163,93237655
144,2008/12/7,2008144,2,5,10,27,29,33,15,194035022,4,6000000,41,542117,125100184
145,2008/12/9,2008145,7,13,18,22,26,29,2,178220662,7,5571428,102,273718,102065593
146,2008/12/11,2008146,7,8,17,19,31,32,10,186410548,7,5571428,79,321260,77942543
147,2008/12/14,2008147,7,8,14,22,26,33,2,201725324,2,7000000,38,545598,116318904
148,2008/12/16,2008148,3,5,9,22,26,28,9,184713626,1,9000000,56,310897,118780453
149,2008/12/18,2008149,10,14,22,28,29,33,2,192954686,6,5666666,43,1134582,109689174
150,2008/12/21,2008150,4,19,22,24,29,32,2,199701670,2,7000000,41,1277867,122143128
151,2008/12/23,2008151,6,8,10,14,17,19,6,178836934,6,5666666,45,666297,104993154
152,2008/12/25,2008152,1,4,6,22,26,30,8,185010624,4,6000000,46,595105,96725236
153,2008/12/28,2008153,1,4,18,21,24,30,16,203192356,2,7000000,40,308487,115517390
154,2008/12/30,2008154,2,5,7,21,22,26,8,187460204,5,5800000,89,385272,105212795
155,2009/1/1,2009001,4,21,23,24,30,31,4,188339912,1,14000000,36,532741,139963106
156,2009/1/4,2009002,10,14,17,25,29,33,14,214099642,5,8488140,143,140986,148564860
157,2009/1/6,2009003,2,3,6,15,25,30,2,191963484,1,14000000,45,440649,184833086
158,2009/1/8,2009004,3,11,13,17,28,31,3,196964008,8,6480108,84,140015,164435256
159,2009/1/11,2009005,1,3,8,15,17,21,13,213622966,8,6796756,76,204750,150370376
160,2009/1/13,2009006,6,12,18,20,26,33,2,184731320,2,10000000,80,225466,172457546
161,2009/1/15,2009007,1,5,12,23,25,26,15,185060730,7,6471456,42,367864,163208038
162,2009/1/18,2009008,4,15,16,22,32,33,2,207103370,4,7918908,99,176903,172397120
163,2009/1/20,2009009,8,15,21,30,31,33,2,181279024,2,10000000,35,532256,195864714
164,2009/1/22,2009010,3,10,17,19,20,24,2,189703670,0,0,100,190442,240301198
165,2009/2/1,2009011,2,4,13,14,18,23,15,189123128,2,10000000,55,313218,260497594
166,2009/2/3,2009012,5,11,14,17,18,28,1,175832284,4,7452727,80,183954,265024872
167,2009/2/5,2009013,4,8,9,21,26,27,9,182623460,4,5788248,118,40080,252907356
168,2009/2/8,2009014,3,6,9,14,15,18,2,209566064,4,7669580,70,228821,259603164
169,2009/2/10,2009015,2,4,6,15,17,32,5,185426162,1,10000000,37,363667,280999811
170,2009/2/12,2009016,2,7,13,16,20,33,3,193953514,8,6224936,85,172932,265498528
171,2009/2/15,2009017,6,14,15,19,25,26,8,214067758,5,6522888,70,163166,259534635
172,2009/2/17,2009018,2,5,6,19,27,30,15,194471112,4,7919150,78,224550,268726136
173,2009/2/19,2009019,6,17,19,20,26,27,4,193303346,0,0,76,199574,304117385
174,2009/2/22,2009020,3,5,7,10,19,23,13,231854880,4,8177396,65,293298,315891352
175,2009/2/24,2009021,1,4,5,17,24,27,9,207029170,3,7808857,52,243074,321957786
176,2009/2/26,2009022,5,8,9,10,11,18,8,212225776,5,7060480,69,223965,322713790
177,2009/3/1,2009023,1,6,7,15,24,30,8,229895788,3,9640233,67,311657,342515538
178,2009/3/3,2009024,1,3,17,23,30,33,12,208357346,3,7053240,51,181168,342914844
179,2009/3/5,2009025,10,20,22,23,26,33,11,208731366,3,7817434,23,551237,349045602
180,2009/3/8,2009026,11,15,17,18,20,30,16,232338570,6,7138180,73,263611,351118314
181,2009/3/10,2009027,2,7,11,16,27,32,6,210676594,19,5332508,153,61937,271912458
182,2009/3/12,2009028,3,6,12,15,23,26,10,212975332,41,5071025,258,16930,74192493
183,2009/3/15,2009029,12,13,15,22,23,29,13,243921424,3,5000000,65,303161,105172029
184,2009/3/17,2009030,8,14,24,26,28,32,7,218775106,8,5000000,56,6000,65172024
185,2009/3/19,2009031,1,2,3,15,30,33,1,220305014,6,5000000,66,280483,78366498
186,2009/3/22,2009032,9,11,12,19,27,32,6,231465250,3,5000000,102,166998,103112040
187,2009/3/24,2009033,7,8,13,14,29,30,6,212148538,6,7230425,125,160590,106568418
188,2009/3/26,2009034,9,12,18,21,22,26,7,214772934,5,7490582,107,174573,112700695
189,2009/3/29,2009035,6,15,21,26,29,31,5,236221934,6,6870427,87,193492,110757102
190,2009/3/31,2009036,6,9,18,23,32,33,7,215060184,7,7019955,69,307384,111106317
191,2009/4/2,2009037,2,6,15,18,20,31,3,213602348,1,10000000,59,310400,143838132
192,2009/4/5,2009038,12,13,15,23,28,32,5,229578934,20,5727829,52,419901,80229620
193,2009/4/7,2009039,5,12,14,15,21,27,3,207130808,3,5000000,81,240200,110627535
194,2009/4/9,2009040,4,7,10,20,26,30,12,212931272,21,5192140,246,24603,45714888
195,2009/4/12,2009041,1,8,23,26,28,33,8,229731450,9,5000000,45,186380,50284857
196,2009/4/14,2009042,8,16,22,23,27,30,11,207877744,2,5000000,79,144584,66936596
197,2009/4/16,2009043,4,9,10,15,18,26,7,211334106,5,5000000,110,118977,72474230
198,2009/4/19,2009044,11,14,16,18,26,30,1,229851250,2,5000000,50,451122,115105218
199,2009/4/21,2009045,3,4,6,23,30,32,1,210992934,0,0,39,610799,170687987
200,2009/4/23,2009046,16,20,21,26,29,30,9,212241096,3,6958577,37,238205,170377314
201,2009/4/26,2009047,6,8,11,15,21,22,16,236616310,5,7616787,99,198241,178087150
202,2009/4/28,2009048,3,7,11,15,17,31,1,210372082,4,8812747,85,269135,196214620
203,2009/4/30,2009049,9,12,14,20,30,31,6,204405802,3,7189995,45,218999,197639586
204,2009/5/3,2009050,13,21,24,29,30,32,4,223078776,3,9117209,35,529355,213518652
205,2009/5/5,2009051,6,10,13,16,21,23,7,211832930,5,6740625,69,189198,210276470
206,2009/5/7,2009052,9,11,15,19,21,30,8,215699408,9,6107335,66,226500,190191519
207,2009/5/10,2009053,7,12,18,19,22,28,4,231922796,4,8260566,239,81855,202797176
208,2009/5/12,2009054,16,17,23,26,31,32,11,212918588,6,6301530,73,160462,192320136
209,2009/5/14,2009055,3,4,18,22,24,29,11,213511884,3,9920244,69,320885,214221969
210,2009/5/17,2009056,4,9,10,18,29,32,8,232354314,5,7371213,66,269456,218862140
211,2009/5/19,2009057,5,7,10,14,17,25,11,209587496,6,6995326,180,99766,218792028
212,2009/5/21,2009058,5,8,10,15,23,26,9,211477696,13,5536087,150,69691,171214875
213,2009/5/24,2009059,3,7,13,23,27,30,11,236158050,2,10000000,184,111929,199269816
214,2009/5/26,2009060,7,13,17,26,32,33,4,214031372,2,10000000,40,481222,224183916
215,2009/5/28,2009061,10,11,13,16,19,30,3,202235730,1,10000000,32,619956,260474031
216,2009/5/31,2009062,10,19,20,21,23,32,10,239346092,7,6545986,120,135273,252528787
217,2009/6/2,2009063,2,5,11,26,30,32,16,210071776,0,0,47,441806,300980246
218,2009/6/4,2009064,1,2,14,23,28,29,15,226247318,4,8216973,66,292452,313149980
219,2009/6/7,2009065,8,12,20,22,30,33,2,242812406,5,6633932,63,194515,308574135
220,2009/6/9,2009066,2,15,19,24,31,32,4,218893000,9,6610693,34,639539,299814732
221,2009/6/11,2009067,4,10,16,23,28,30,5,219034212,12,5722715,168,77433,261496188
222,2009/6/14,2009068,6,11,18,20,25,30,5,241709362,10,6237692,213,87161,242438490
223,2009/6/16,2009069,3,5,12,18,21,23,2,218479274,7,6519767,157,101640,234034416
224,2009/6/18,2009070,1,2,9,10,21,31,10,219945468,4,8232130,42,461732,246355720
225,2009/6/21,2009071,4,5,23,26,31,32,6,231131078,5,7345798,40,439837,250678205
226,2009/6/23,2009072,1,3,12,20,21,29,4,211601456,7,6825455,40,479182,247623670
227,2009/6/25,2009073,9,16,17,18,22,27,14,208376662,16,5000000,103,6000,167623664
228,2009/6/28,2009074,5,10,16,19,23,28,13,223339000,28,5157893,296,22403,68676204
229,2009/6/30,2009075,1,13,15,17,20,30,5,198114500,1,5000000,53,313978,102504840
230,2009/7/2,2009076,9,18,19,25,28,31,6,202715574,29,4834333,98,164828,30000000
231,2009/7/5,2009077,1,9,14,16,28,32,16,216463266,4,5000000,75,295336,61683808
232,2009/7/7,2009078,5,7,12,14,15,20,13,196218272,2,5000000,88,203218,93411342
233,2009/7/9,2009079,2,9,16,21,30,31,13,200470322,1,5000000,122,159349,133772824
234,2009/7/12,2009080,1,11,13,25,32,33,6,220533638,4,8152908,48,394113,145301904
235,2009/7/14,2009081,4,5,6,25,29,30,3,198933210,1,10000000,56,276678,171454521
236,2009/7/16,2009082,11,15,18,21,27,29,2,200877058,2,10000000,52,325220,190914628
237,2009/7/19,2009083,2,8,12,18,24,28,4,219733470,11,5930022,361,42507,161490252
238,2009/7/21,2009084,4,9,11,20,32,33,13,198945272,2,10000000,53,369239,187152834
239,2009/7/23,2009085,4,8,12,17,20,30,3,201602548,8,6613174,93,208151,179416312
240,2009/7/26,2009086,11,12,13,18,23,32,11,222559596,3,8701558,47,354404,192178002
241,2009/7/28,2009087,6,11,13,20,28,32,6,201493798,2,10000000,40,396256,209161942
242,2009/7/30,2009088,4,7,11,15,16,17,2,204688536,0,0,78,239246,252704834
243,2009/8/2,2009089,2,3,7,11,19,32,4,230854186,2,10000000,58,324301,276593622
244,2009/8/4,2009090,7,9,14,20,23,30,14,206728590,3,8498567,137,114916,287832879
245,2009/8/6,2009091,3,8,11,14,25,29,4,211875120,4,8563606,168,127271,303468948
246,2009/8/9,2009092,2,6,7,14,18,31,8,233413914,6,6638823,66,223475,298051302
247,2009/8/11,2009093,1,11,20,31,32,33,1,209331254,21,5425961,198,67766,215414283
248,2009/8/13,2009094,3,16,22,25,26,33,14,207069924,3,9982212,90,249110,237780876
249,2009/8/16,2009095,8,9,14,28,31,33,15,226862140,0,0,39,518605,284973985
250,2009/8/18,2009096,1,26,27,31,32,33,3,209639476,2,10000000,93,220923,312914368
251,2009/8/20,2009097,7,13,24,26,28,32,14,209714238,4,8784477,50,454137,330759140
252,2009/8/23,2009098,3,14,15,20,23,30,2,234823318,11,5963743,265,60006,302262070
253,2009/8/25,2009099,8,9,18,20,25,29,9,215841514,18,5061042,243,6782,215008974
254,2009/8/27,2009100,2,11,17,27,30,33,11,213445814,7,6103224,75,154451,199315403
255,2009/8/30,2009101,1,2,5,10,19,24,14,235272092,0,0,112,200147,251620680
256,2009/9/1,2009102,3,5,7,8,14,31,10,211207990,7,6413323,63,235553,241353840
257,2009/9/3,2009103,6,11,17,20,23,24,9,215101390,10,6155287,53,326968,220236030
258,2009/9/6,2009104,20,22,26,29,30,32,16,233718766,5,7881551,39,554144,231255420
259,2009/9/8,2009105,2,8,10,16,27,30,15,208614594,2,10000000,103,179197,254322534
260,2009/9/10,2009106,1,2,15,18,20,29,4,218443162,4,7902193,48,362774,263344464
261,2009/9/13,2009107,7,8,20,23,28,29,5,239917960,4,7435433,70,208751,267698792
262,2009/9/15,2009108,4,10,17,28,32,33,2,215736244,5,6951813,78,187674,267096455
263,2009/9/17,2009109,5,6,7,14,25,28,1,220168836,0,0,78,270395,316308525
264,2009/9/20,2009110,4,10,13,15,19,30,14,245158100,2,10000000,105,206890,346996620
265,2009/9/22,2009111,2,4,7,14,15,25,15,224881094,3,9392222,48,411770,364938288
266,2009/9/24,2009112,6,7,18,24,30,32,9,227610064,6,6808630,55,295957,362067750
267,2009/9/27,2009113,4,12,20,25,28,29,16,250863766,8,6736407,126,165372,356795904
268,2009/9/29,2009114,3,5,11,12,31,32,11,222577144,9,5957982,182,71059,333350496
269,2009/10/1,2009115,2,9,13,15,19,24,3,198302256,1,10000000,61,271087,361935248
270,2009/10/4,2009116,5,17,21,25,27,32,14,221054568,7,6847139,53,365942,359260188
271,2009/10/6,2009117,5,9,15,21,26,31,13,202883414,8,6172798,147,95738,342716160
272,2009/10/8,2009118,12,16,25,26,27,31,5,215790310,93,4090714,43,375949,30000000
273,2009/10/11,2009119,6,7,10,12,15,21,5,232178172,1,5000000,55,383355,104197248
274,2009/10/13,2009120,1,2,8,12,16,30,16,222194270,2,10000000,60,375490,136765954
275,2009/10/15,2009121,2,4,6,10,25,30,9,239496416,8,6755661,72,188443,119379168
276,2009/10/18,2009122,7,14,16,27,29,32,1,266208716,5,9178537,154,154798,134110885
277,2009/10/20,2009123,9,13,20,22,25,28,14,237742194,3,9629280,83,160623,141330492
278,2009/10/22,2009124,3,4,22,23,28,30,10,249561480,9,6872428,65,273504,125960139
279,2009/10/25,2009125,6,7,8,22,26,27,12,262970658,8,6416421,93,102118,101788576
280,2009/10/27,2009126,3,5,6,10,19,23,15,235506694,6,7984966,101,191729,104063082
281,2009/10/29,2009127,2,11,12,14,15,16,4,243177980,14,6094998,98,158112,59888052
282,2009/11/1,2009128,5,8,15,16,26,32,1,261066840,2,7500000,162,161171,110810788
283,2009/11/3,2009129,6,7,16,17,24,25,7,231824092,20,5250000,169,6000,40810780
284,2009/11/5,2009130,2,3,7,12,13,30,11,235462772,3,6666666,80,168182,57204927
285,2009/11/8,2009131,16,23,25,26,32,33,5,265379234,2,7500000,44,532882,101914158
286,2009/11/10,2009132,4,14,15,21,23,30,7,227359216,13,6351887,130,145090,68350516
287,2009/11/12,2009133,5,9,13,18,20,32,1,219891024,5,6000000,200,102387,91131470
288,2009/11/15,2009134,3,5,12,15,28,33,6,246133544,10,5500000,65,135164,61631400
289,2009/11/17,2009135,1,3,14,19,30,33,16,218222340,9,5555555,129,150384,61897032
290,2009/11/19,2009136,1,4,14,22,30,33,1,222662662,2,7500000,44,579230,111364688
291,2009/11/22,2009137,8,12,14,15,17,21,1,250971196,2,12500000,42,660489,156092638
292,2009/11/24,2009138,4,7,14,26,32,33,14,229193984,7,7125713,46,322173,145792626
293,2009/11/26,2009139,1,5,15,17,27,29,2,235679662,2,12500000,77,252451,171149654
294,2009/11/29,2009140,4,5,11,18,22,33,12,257453092,1,15000000,71,265203,205085084
295,2009/12/1,2009141,2,13,21,28,29,31,9,237668962,15,5601525,77,78367,140142300
296,2009/12/3,2009142,7,11,15,19,20,24,13,240043572,10,6453692,142,100742,113984610
297,2009/12/6,2009143,5,9,11,17,23,28,10,266083890,22,5589957,214,55928,53932326
298,2009/12/8,2009144,1,5,10,17,18,29,12,234614110,5,6000000,87,233539,76340805
299,2009/12/10,2009145,3,5,11,15,26,33,11,238886876,12,5416666,133,89619,44152572
300,2009/12/13,2009146,3,9,16,20,22,33,15,265187498,7,5714285,89,250148,61100095
301,2009/12/15,2009147,6,8,10,18,22,32,16,229746022,3,6666666,126,157863,92511843
302,2009/12/17,2009148,6,12,15,22,29,32,10,234965094,3,6666666,117,186633,128462721
